,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_EDUCATION_TYPE,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,REGION_RATING_CLIENT_W_CITY,APPL_DATETIME,DATE_BIRTH
58785,0,Cash loans,F,Y,Y,157500,225000,11781,225000,Secondary / secondary special,House / apartment,0.01452,2,6/11/2016 17:28,17-07-1959
166116,0,Cash loans,F,N,Y,180000,508495.5,21672,454500,Secondary / secondary special,House / apartment,0.031329,2,5/22/2015 8:42,23-06-1951
170111,0,Cash loans,F,Y,Y,360000,639396,47934,571500,Incomplete higher,House / apartment,0.032561,1,11/26/2016 20:54,7/6/1979
184247,0,Cash loans,F,N,Y,162000,254700,14751,225000,Higher education,House / apartment,0.010147,2,2/20/2017 9:22,20-07-1958
75886,0,Cash loans,M,Y,Y,225000,787131,42066,679500,Higher education,House / apartment,0.025164,2,2/28/2017 9:38,5/8/1985
84218,0,Cash loans,M,Y,Y,360000,1042560,37575,900000,Higher education,House / apartment,0.030755,2,6/28/2017 1:12,11/5/1990
61043,0,Cash loans,F,N,Y,157500,239850,24705,225000,Secondary / secondary special,House / apartment,0.035792,2,10/22/2015 14:27,30-08-1971
127542,0,Revolving loans,F,N,Y,76500,180000,9000,180000,Secondary / secondary special,With parents,0.025164,2,9/23/2017 8:58,15-01-1951
154065,0,Cash loans,F,N,N,112500,490536,23859,405000,Higher education,House / apartment,0.020713,2,10/12/2015 3:10,13-12-1947
55568,0,Cash loans,F,N,N,67500,545040,25537.5,450000,Secondary / secondary special,Rented apartment,0.00733,2,8/31/2018 2:34,13-08-1993
157126,0,Cash loans,F,N,N,225000,1665000,43920,1665000,Secondary / secondary special,House / apartment,0.028663,2,1/11/2016 22:20,10/8/1989
54562,0,Cash loans,M,Y,Y,90000,206280,7906.5,135000,Secondary / secondary special,House / apartment,0.008019,2,11/25/2018 13:29,24-09-1953
86431,0,Cash loans,F,N,Y,157500,755190,32125.5,675000,Lower secondary,House / apartment,0.01885,2,7/21/2017 3:24,18-05-1970
132974,0,Cash loans,M,Y,Y,225000,497520,36184.5,450000,Higher education,House / apartment,0.031329,2,8/2/2018 0:21,27-02-1959
149603,0,Cash loans,F,N,Y,112500,495000,16096.5,495000,Higher education,House / apartment,0.026392,2,5/5/2015 5:36,31-10-1947
131520,0,Cash loans,F,Y,Y,81000,894766.5,29569.5,679500,Higher education,With parents,0.008019,2,6/30/2017 11:42,12/10/1979
107743,0,Cash loans,M,N,Y,81000,212656.5,14800.5,193500,Secondary / secondary special,House / apartment,0.015221,2,8/22/2017 15:41,10/5/1972
58409,0,Cash loans,F,N,Y,90000,585000,21141,585000,Secondary / secondary special,House / apartment,0.018209,3,10/10/2016 15:18,1/2/1995
187264,0,Cash loans,F,N,Y,180000,675000,32602.5,675000,Higher education,House / apartment,0.028663,2,8/13/2015 11:37,25-02-1958
146569,0,Revolving loans,M,Y,N,157500,270000,13500,270000,Secondary / secondary special,With parents,0.019689,2,6/10/2016 1:38,22-12-1986
171686,1,Cash loans,M,Y,N,225000,315000,33925.5,315000,Higher education,House / apartment,0.04622,1,12/15/2017 8:47,27-09-1955
95421,0,Cash loans,F,N,Y,135000,648000,33214.5,648000,Secondary / secondary special,House / apartment,0.018209,3,4/22/2017 14:25,13-12-1949
60935,0,Cash loans,M,Y,N,112500,900000,25794,900000,Secondary / secondary special,House / apartment,0.019101,2,3/22/2015 5:40,4/7/1965
88699,0,Cash loans,F,N,Y,112500,163512,13045.5,135000,Secondary / secondary special,House / apartment,0.019101,2,10/25/2016 8:46,29-05-1955
162637,0,Cash loans,M,N,Y,360000,1081179,45936,927000,Incomplete higher,Co-op apartment,0.025164,2,8/16/2015 16:20,18-08-1967
135749,0,Cash loans,F,Y,Y,90000,232434,9594,166500,Secondary / secondary special,House / apartment,0.018029,2,12/23/2016 10:16,23-08-1993
180539,0,Cash loans,F,N,Y,225000,545040,25537.5,450000,Secondary / secondary special,House / apartment,0.0105,3,5/26/2018 0:05,28-07-1993
122618,0,Cash loans,F,N,N,225000,814041,21474,679500,Higher education,House / apartment,0.030755,2,3/19/2017 12:45,19-07-1967
76032,0,Cash loans,F,N,Y,171000,604152,25726.5,540000,Secondary / secondary special,House / apartment,0.035792,2,2/18/2017 9:06,3/2/1959
189947,0,Cash loans,M,Y,N,112500,436500,14184,436500,Secondary / secondary special,House / apartment,0.005084,2,11/17/2016 18:47,13-10-1954
127400,0,Cash loans,F,N,N,67500,432661.5,20943,373500,Secondary / secondary special,House / apartment,0.0228,2,10/10/2018 2:39,18-11-1955
162472,0,Cash loans,M,Y,Y,371250,545040,20677.5,450000,Secondary / secondary special,House / apartment,0.018209,3,12/25/2016 11:05,17-10-1983
140216,0,Cash loans,F,N,Y,90000,900000,32458.5,900000,Secondary / secondary special,House / apartment,0.031329,2,5/21/2017 8:16,2/7/1982
60450,0,Cash loans,F,N,N,112500,127350,12532.5,112500,Higher education,House / apartment,0.030755,2,2/20/2016 3:36,16-04-1961
57151,0,Cash loans,F,Y,Y,112500,254700,25321.5,225000,Higher education,House / apartment,0.022625,2,10/7/2016 11:09,9/12/1952
76554,0,Cash loans,F,N,Y,180000,206271,19512,193500,Higher education,House / apartment,0.010966,2,7/6/2015 13:18,19-04-1958
188535,0,Revolving loans,F,N,Y,67500,135000,6750,135000,Secondary / secondary special,House / apartment,0.018029,3,11/24/2015 4:09,10/12/1955
77146,0,Cash loans,F,Y,Y,144000,755190,36459,675000,Higher education,House / apartment,0.0105,3,10/3/2015 3:20,12/10/1956
56221,0,Cash loans,F,N,Y,49500,84577.5,9009,76500,Higher education,House / apartment,0.008625,2,1/18/2017 12:24,9/3/1967
60661,0,Cash loans,M,N,Y,157500,1756714.5,61191,1516500,Secondary / secondary special,House / apartment,0.035792,2,10/18/2016 22:05,21-04-1958
155705,0,Cash loans,F,N,Y,90000,269550,16380,225000,Secondary / secondary special,House / apartment,0.028663,2,2/5/2016 9:08,27-09-1993
166082,0,Revolving loans,F,N,N,67500,202500,10125,202500,Secondary / secondary special,House / apartment,0.018634,2,11/12/2015 7:40,12/11/1967
144351,0,Cash loans,F,N,Y,90000,646920,20997,540000,Secondary / secondary special,House / apartment,0.030755,2,6/30/2017 9:10,20-04-1990
99909,0,Cash loans,F,N,N,90000,327024,15241.5,270000,Higher education,Rented apartment,0.0105,3,8/14/2016 0:03,25-04-1992
101824,0,Cash loans,M,Y,N,441000,746280,58963.5,675000,Higher education,House / apartment,0.004849,2,1/7/2017 15:32,4/3/1973
169341,0,Cash loans,F,N,N,202500,808650,26217,675000,Secondary / secondary special,House / apartment,0.01885,2,6/10/2015 1:53,8/4/1961
65573,0,Cash loans,M,Y,Y,288000,1724220,45612,1350000,Higher education,House / apartment,0.032561,1,9/8/2018 1:02,5/5/1951
120101,0,Cash loans,M,Y,Y,135000,143910,15498,135000,Secondary / secondary special,House / apartment,0.025164,2,1/18/2017 17:46,14-01-1981
48484,0,Cash loans,M,Y,Y,112500,495000,23814,495000,Secondary / secondary special,House / apartment,0.00712,2,9/13/2015 7:43,23-12-1950
172126,0,Cash loans,F,N,Y,198000,679500,26946,679500,Higher education,House / apartment,0.008019,2,7/8/2015 15:42,23-06-1951
60842,0,Cash loans,F,Y,Y,306000,1116000,36000,1116000,Secondary / secondary special,House / apartment,0.026392,2,4/15/2016 13:50,15-01-1957
107241,0,Cash loans,F,N,N,135000,808650,26217,675000,Secondary / secondary special,House / apartment,0.009175,2,11/19/2016 21:11,3/7/1961
137531,0,Cash loans,F,Y,Y,112500,263686.5,29880,238500,Secondary / secondary special,House / apartment,0.018634,2,4/26/2018 5:44,1/12/1959
56391,0,Cash loans,F,N,Y,81000,540000,19395,540000,Secondary / secondary special,House / apartment,0.018209,3,2/20/2015 18:40,28-06-1977
72284,0,Cash loans,F,N,N,135000,679500,39006,679500,Higher education,House / apartment,0.072508,1,9/18/2016 3:21,10/4/1978
103818,0,Cash loans,F,N,Y,115200,334152,17190,270000,Higher education,House / apartment,0.018029,3,5/16/2016 2:55,25-04-1985
77143,0,Cash loans,F,N,Y,202500,1546020,40914,1350000,Higher education,House / apartment,0.00496,2,7/24/2017 23:12,11/6/1951
85069,0,Cash loans,M,Y,N,315000,814041,26388,679500,Higher education,House / apartment,0.04622,1,6/16/2017 5:45,26-12-1961
95237,0,Cash loans,M,Y,Y,315000,550980,36819,450000,Higher education,House / apartment,0.008625,2,1/27/2016 12:34,6/2/1963
195979,0,Cash loans,F,N,Y,171000,90000,9823.5,90000,Secondary / secondary special,House / apartment,0.007274,2,5/30/2018 0:41,22-05-1987
